Metro Boomin,Creepin' (with The Weeknd & 21 Savage),락
SZA,Kill Bill,락
Lil Uzi Vert,Just Wanna Rock,락
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],락
Drake,Rich Flex,락
Natanael Cano,AMG,락
Taylor Swift,Anti-Hero,락
Zach Bryan,Something in the Orange,락
NLE Choppa,SLUT ME OUT,락
Rema,Calm Down (with Selena Gomez),락
SZA,Snooze,락
d4vd,Romantic Homicide,락
Coi Leray,Players,락
SZA,Kill Bill,락
Metro Boomin,Trance (with Travis Scott & Young Thug),락
Bailey Zimmerman,Rock and A Hard Place,락
d4vd,Here With Me,락
Lizzy McAlpine,ceilings,락
Drake,Jimmy Cooks (feat. 21 Savage),락
SZA,Low,락
OneRepublic,I Ain't Worried,락
JVKE,golden hour,락
Taylor Swift,Lavender Haze,락
Bad Bunny,Me Porto Bonito,락
Drake,Spin Bout U,락
Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,락
Future,WAIT FOR U (feat. Drake & Tems),락
David Guetta,I'm Good (Blue),락
Bad Bunny,Tit챠 Me Pregunt처,락
Harry Styles,As It Was,락
Superstar Pride,PAINTING PICTURES,락
Sabrina Carpenter,Nonsense,락
Carin Leon,Que Vuelvas,락
Steve Lacy,Bad Habit,락
Sam Smith,Unholy (feat. Kim Petras),락
Post Malone,I Like You (A Happier Song) (with Doja Cat),락
Yeat,Out th챘 way,락
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),락
ThxSoMch,SPIT IN MY FACE!,락
Harry Styles,Late Night Talking,락
Brent Faiyaz,ALL MINE,락
Taylor Swift,Karma,락
Beyonc챕,CUFF IT,락
Steve Lacy,Bad Habit,락
Fuerza Regida,Igualito a Mi Ap찼,락
Harry Styles,As It Was,락
Bad Bunny,Efecto,락
SZA,Nobody Gets Me,락
Fuerza Regida,Bebe Dame,락
Brent Faiyaz,JACKIE BROWN,락
SZA,Shirt,락
Morgan Wallen,You Proof,락
Megan Moroney,Tennessee Orange,락
Luke Combs,The Kind of Love We Make,락
Grupo Frontera,No Se Va - En Vivo,락
Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],락
Zach Bryan,Sun to Me,락
Bailey Zimmerman,Fall In Love,락
Taylor Swift,Midnight Rain,락
Naturelle,Falling Asleep,락
횗engo Flow,Gato de Noche,락
Morgan Wallen,One Thing At A Time,락
Bad Bunny,Ojitos Lindos,락
Meghan Trainor,Made You Look,락
Luis R Conriquez,El Gavil찼n,락
Future,PUFFIN ON ZOOTIEZ,락
SZA,Blind,락
Peso Pluma,Siempre Pendientes,락
Luke Combs,Going; Going; Gone,락
NewJeans,Ditto,락
Cole Swindell,She Had Me At Heads Carolina,락
Taylor Swift,Bejeweled,락
Zach Bryan,Burn; Burn; Burn,락
Lil Peep,nuts,락
Billie Eilish,TV,락
Drake,On BS,락
Yandel,Yandel 150,락
El Chachito,En Paris,락
Parker McCollum,Handle On You,락
